Date,Open,High,Low,Close,Adj Close,Volume
1/2/2008,2739.585938,2740.319092,2709.162109,2731.50708,2731.426025,115230500
1/3/2008,2706.541992,2717.833008,2697.650879,2715.064941,2714.984131,171817600
1/4/2008,2717.095947,2769.428955,2717.095947,2765.189941,2765.10791,291965800
1/7/2008,2732.433105,2776.781982,2732.433105,2776.409912,2776.327393,352416800
1/8/2008,2783.606934,2800.295898,2771.801025,2785.625,2785.54248,418059500
1/9/2008,2772.069092,2830.262939,2772.069092,2830.262939,2830.178955,335547300
1/14/2008,2831.25293,2838.476074,2788.620117,2810.37207,2810.288574,413576000
1/15/2008,2829.706055,2838.27002,2713.520996,2730.031006,2729.949951,342957200
1/16/2008,2659.059082,2661.50293,2557.031982,2592.311035,2592.234131,350041600
1/17/2008,2617.696045,2649.279053,2558.417969,2649.279053,2649.200439,342401700
1/18/2008,2546.709961,2633.113037,2542.948975,2611.13208,2611.054688,239921800
1/21/2008,2576.785889,2597.245117,2461.137939,2485.878906,2485.805176,391153500
1/22/2008,2375.88208,2375.88208,2229.819092,2294.523926,2294.455811,457958500
1/23/2008,2441.115967,2490.227051,2387.043945,2476.278076,2476.20459,4664505600
1/24/2008,2515.250977,2547.104004,2475.032959,2516.700928,2516.626221,3228817600
1/25/2008,2566.116943,2620.49292,2561.949951,2620.49292,2620.415283,3295949600
1/28/2008,2569.837891,2607.719971,2561.283936,2582.049072,2581.972412,289295100
1/29/2008,2625.033936,2630.519043,2591.797119,2607.843018,2607.765625,323132000
1/30/2008,2631.103027,2636.833984,2581.985107,2610.358887,2610.281494,260900400
1/31/2008,2608.753906,2627.250977,2586.447998,2627.250977,2627.172852,296656100
2/1/2008,2657.159912,2660.743896,2613.504883,2646.821045,2646.742432,201406500
2/4/2008,2684.121094,2719.229004,2679.938965,2701.628906,2701.548584,375293300
2/5/2008,2687.422119,2725.114014,2685.288086,2704.24707,2704.166748,490447300
2/6/2008,2615.839111,2641.037109,2608.587891,2639.086914,2639.008789,429040700
2/11/2008,2625.038086,2639.11499,2573.406982,2589.38208,2589.305176,246669400
2/12/2008,2623.406982,2626.863037,2581.864014,2592.070068,2591.993164,206716000
2/13/2008,2626.969971,2632.094971,2604.24707,2610.781006,2610.703613,271433500
2/14/2008,2654.977051,2675.64502,2652.625977,2675.64502,2675.565674,378368500
2/15/2008,2641.873047,2688.190918,2641.873047,2688.190918,2688.111084,304879400
2/18/2008,2701.923096,2707.461914,2673.365967,2684.701904,2684.62207,259024500
2/19/2008,2711.691895,2713.178955,2701.095947,2711.87207,2711.791748,203346800
2/20/2008,2713.218994,2714.439941,2674.24292,2689.256104,2689.17627,303878300
2/21/2008,2715.200928,2734.209961,2707.271973,2734.209961,2734.128662,323588100
2/22/2008,2718.460938,2741.839111,2718.460938,2741.180908,2741.099609,215973900
2/25/2008,2763.930908,2767.845947,2745.038086,2751.862061,2751.780518,351521200
2/26/2008,2772.188965,2773.434082,2732.637939,2738.87207,2738.790771,357464500
2/27/2008,2764.556885,2764.556885,2730.790039,2740.137939,2740.056641,3487696400
2/28/2008,2738.657959,2757.094971,2738.657959,2756.313965,2756.232178,374358700
2/29/2008,2745.462891,2749.477051,2712.218994,2721.944092,2721.863281,282577500
3/3/2008,2651.875977,2689.659912,2642.000977,2652.312012,2652.233398,267942200
3/4/2008,2679.399902,2681.946045,2609.312988,2634.751953,2634.673828,257916300
3/5/2008,2636.113037,2645.916016,2611.704102,2639.6521,2639.573975,201723400
3/6/2008,2669.254883,2671.02002,2647.503906,2656.456055,2656.377197,224435600
3/10/2008,2594.589111,2594.589111,2514.916016,2527.866943,2527.791748,309354000
3/11/2008,2502.888916,2523.533936,2446.229004,2523.533936,2523.458984,258282000
3/12/2008,2599.409912,2602.648926,2542.362061,2556.241943,2556.166016,258771100
3/13/2008,2522.483887,2528.825928,2432.833984,2440.592041,2440.519531,272155700
3/14/2008,2474.033936,2475.330078,2381.825928,2383.419922,2383.349121,218715500
3/17/2008,2274.5979,2312.321045,2239.728027,2312.321045,2312.252441,219828500
3/18/2008,2336.611084,2339.794922,2242.599121,2339.794922,2339.725342,274264700
3/19/2008,2389.999023,2389.999023,2301.724121,2323.565918,2323.496826,216169400
3/24/2008,2319.601074,2339.293945,2291.157959,2339.293945,2339.224365,156883900
3/25/2008,2366.988037,2419.615967,2361.593018,2419.615967,2419.544189,274025300
3/26/2008,2417.269043,2459.313965,2403.012939,2440.639893,2440.567383,285205900
3/27/2008,2418.435059,2451.350098,2405.145996,2451.350098,2451.277344,221362600
3/28/2008,2450.799072,2477.585938,2448.093994,2477.585938,2477.512451,233828200
3/31/2008,2467.852051,2476.579102,2430.024902,2447.299072,2447.226563,181925100
4/1/2008,2463.740967,2465.822021,2343.123047,2393.249023,2393.177979,252811200
4/2/2008,2432.990967,2432.990967,2331.855957,2342.188965,2342.119385,252667700
4/3/2008,2349.299072,2351.014893,2221.00708,2237.970947,2237.904541,353331700
