Date,Open,High,Low,Close,Adj Close,Volume
2019-02-26,27500.000000,27775.000000,27475.000000,27775.000000,27523.398438,19689200
2019-02-27,27825.000000,27850.000000,27725.000000,27825.000000,27572.945313,15703900
2019-02-28,27850.000000,27900.000000,27550.000000,27575.000000,27325.208984,19873200
2019-03-01,27825.000000,28000.000000,27675.000000,27700.000000,27449.076172,14517900
2019-03-04,27600.000000,27700.000000,27575.000000,27675.000000,27424.302734,12782100
2019-03-05,27500.000000,27525.000000,27200.000000,27475.000000,27226.115234,9299900
2019-03-06,27775.000000,27775.000000,27450.000000,27450.000000,27201.341797,7555400
2019-03-07,27450.000000,27450.000000,27450.000000,27450.000000,27201.341797,0
2019-03-08,27725.000000,27850.000000,27200.000000,27200.000000,26953.605469,12225200
2019-03-11,27650.000000,27650.000000,27300.000000,27525.000000,27275.662109,6493800
2019-03-12,27700.000000,27700.000000,27250.000000,27500.000000,27250.888672,8035700
2019-03-13,27250.000000,27525.000000,27250.000000,27500.000000,27250.888672,3544400
2019-03-14,27250.000000,27475.000000,27250.000000,27400.000000,27151.794922,8219200
2019-03-15,27600.000000,27725.000000,27425.000000,27700.000000,27449.076172,8351900
2019-03-18,27775.000000,27800.000000,27675.000000,27750.000000,27498.623047,8558200
2019-03-19,27700.000000,27725.000000,27425.000000,27450.000000,27201.341797,10305400
2019-03-20,27700.000000,27775.000000,27325.000000,27350.000000,27102.248047,8477700
2019-03-21,27450.000000,27600.000000,27325.000000,27375.000000,27127.021484,7973200
2019-03-22,27325.000000,27500.000000,27325.000000,27425.000000,27176.568359,5920200
2019-03-25,27200.000000,27500.000000,27200.000000,27275.000000,27027.927734,4610900
2019-03-26,27400.000000,27550.000000,27275.000000,27350.000000,27102.248047,3979100
2019-03-27,27550.000000,27550.000000,27300.000000,27425.000000,27176.568359,3560900
2019-03-28,27300.000000,27425.000000,27125.000000,27350.000000,27102.248047,6437500
2019-03-29,27575.000000,27650.000000,27300.000000,27550.000000,27300.435547,7246800
2019-04-01,27750.000000,27750.000000,27400.000000,27500.000000,27250.888672,4357200
2019-04-02,27650.000000,27850.000000,27400.000000,27500.000000,27250.888672,7370600
2019-04-03,27500.000000,27500.000000,27500.000000,27500.000000,27250.888672,0
2019-04-04,27700.000000,27800.000000,27450.000000,27700.000000,27449.076172,9622400
2019-04-05,27800.000000,27800.000000,27625.000000,27650.000000,27399.529297,4382700
2019-04-08,27525.000000,27700.000000,27250.000000,27400.000000,27151.794922,7982000
2019-04-09,27675.000000,27750.000000,27575.000000,27675.000000,27424.302734,5889400
2019-04-10,27750.000000,27775.000000,27575.000000,27625.000000,27374.755859,3901700
2019-04-11,27800.000000,27800.000000,27400.000000,27400.000000,27151.794922,5071200
2019-04-12,27300.000000,27550.000000,27300.000000,27500.000000,27250.888672,3715400
2019-04-15,27800.000000,27850.000000,27450.000000,27525.000000,27275.662109,13630400
2019-04-16,27475.000000,27525.000000,27375.000000,27475.000000,27226.115234,14203400
2019-04-17,27475.000000,27475.000000,27475.000000,27475.000000,27226.115234,0
2019-04-18,28000.000000,29025.000000,27900.000000,28125.000000,27870.226563,25866500
2019-04-19,28125.000000,28125.000000,28125.000000,28125.000000,27870.226563,0
